Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Day_of_Week,Vader_Score,temp_list
Exploring the world of virtual reality.,neutral,2023-01-21 13:20:00,VRExplorer,Facebook,#VR #VirtualReality,15,30,USA,2023,January,21,13,Saturday,0.0,"['Exploring', 'the', 'world', 'of', 'virtual', 'reality.']"
Productive day ticking off my to-do list.,neutral,2023-01-21 16:45:00,ProductivityPro,Instagram,#Productivity #WorkFromHome,30,60,USA,2023,January,21,16,Saturday,0.0,"['Productive', 'day', 'ticking', 'off', 'my', 'to-do', 'list.']"
Just finished a challenging workout routine.,positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20,40,UK,2023,January,22,9,Sunday,0.1531,"['Just', 'finished', 'a', 'challenging', 'workout', 'routine.']"
Celebrating a milestone at work! 🎉,positive,2023-01-22 14:30:00,CareerMilestone,Facebook,#Career #Milestone,12,25,Canada,2023,January,22,14,Sunday,0.6114,"['Celebrating', 'a', 'milestone', 'at', 'work!', '🎉']"
Sunday brunch with friends.,positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,#Brunch #Friends,15,30,UK,2023,January,22,12,Sunday,0.4767,"['Sunday', 'brunch', 'with', 'friends.']"
Learning a new language for personal growth.,positive,2023-01-23 16:20:00,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25,50,India,2023,January,23,16,Monday,0.3818,"['Learning', 'a', 'new', 'language', 'for', 'personal', 'growth.']"
Quiet evening with a good book.,positive,2023-01-23 19:45:00,BookLover,Instagram,#Reading #QuietTime,15,30,Australia,2023,January,23,19,Monday,0.4404,"['Quiet', 'evening', 'with', 'a', 'good', 'book.']"
Reflecting on the importance of mental health.,positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22,45,USA,2023,January,24,11,Tuesday,0.3612,"['Reflecting', 'on', 'the', 'importance', 'of', 'mental', 'health.']"
New painting in progress! 🎨,positive,2023-01-24 15:00:00,ArtistInAction,Facebook,#Art #PaintingInProgress,12,25,Canada,2023,January,24,15,Tuesday,0.4753,"['New', 'painting', 'in', 'progress!', '🎨']"
Weekend road trip to explore scenic views.,neutral,2023-01-24 17:30:00,RoadTripper,Instagram,#RoadTrip #ScenicViews,18,35,UK,2023,January,24,17,Tuesday,0.0,"['Weekend', 'road', 'trip', 'to', 'explore', 'scenic', 'views.']"
Enjoying a cup of tea and watching the sunset.,positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15,30,India,2023,January,25,18,Wednesday,0.5267,"['Enjoying', 'a', 'cup', 'of', 'tea', 'and', 'watching', 'the', 'sunset.']"
Coding a new project with enthusiasm.,positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30,60,USA,2023,January,25,13,Wednesday,0.4404,"['Coding', 'a', 'new', 'project', 'with', 'enthusiasm.']"
Feeling inspired after attending a workshop.,positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,#Inspiration #Workshop,25,50,USA,2023,January,26,9,Thursday,0.5719,"['Feeling', 'inspired', 'after', 'attending', 'a', 'workshop.']"
Winter sports day at the local park.,neutral,2023-01-26 14:20:00,WinterSports,Twitter,#WinterSports #Fun,15,30,Canada,2023,January,26,14,Thursday,0.0,"['Winter', 'sports', 'day', 'at', 'the', 'local', 'park.']"
Quality time with family this weekend.,neutral,2023-01-26 17:40:00,FamilyTime,Facebook,#FamilyTime #Weekend,22,45,UK,2023,January,26,17,Thursday,0.0,"['Quality', 'time', 'with', 'family', 'this', 'weekend.']"
Attending a live music concert tonight.,neutral,2023-01-27 20:00:00,MusicLover,Instagram,#Music #ConcertNight,18,35,USA,2023,January,27,20,Friday,0.0,"['Attending', 'a', 'live', 'music', 'concert', 'tonight.']"
Practicing mindfulness with meditation.,neutral,2023-01-27 12:30:00,MindfulMoments,Twitter,#Mindfulness #Meditation,15,30,India,2023,January,27,12,Friday,0.0,"['Practicing', 'mindfulness', 'with', 'meditation.']"
Trying out a new dessert recipe.,neutral,2023-01-27 16:10:00,DessertExplorer,Facebook,#Dessert #Cooking,12,25,Canada,2023,January,27,16,Friday,0.0,"['Trying', 'out', 'a', 'new', 'dessert', 'recipe.']"
Excited about the upcoming gaming tournament.,positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30,60,USA,2023,January,28,9,Saturday,0.34,"['Excited', 'about', 'the', 'upcoming', 'gaming', 'tournament.']"
Planning a garden makeover for spring.,neutral,2023-01-28 14:45:00,GardenPlanner,Twitter,#Gardening #Spring,25,50,USA,2023,January,28,14,Saturday,0.0,"['Planning', 'a', 'garden', 'makeover', 'for', 'spring.']"
Celebrating a friend's birthday tonight! 🎂,positive,2023-01-28 19:30:00,BirthdayBash,Facebook,#Birthday #Celebration,15,30,UK,2023,January,28,19,Saturday,0.6114,"['Celebrating', 'a', ""friend's"", 'birthday', 'tonight!', '🎂']"
Feeling accomplished after a productive day.,positive,2023-01-29 17:00:00,ProductivityWin,Instagram,#Accomplished #Success,22,45,India,2023,January,29,17,Sunday,0.5267,"['Feeling', 'accomplished', 'after', 'a', 'productive', 'day.']"
A cozy evening with a good movie.,positive,2023-01-29 20:20:00,MovieNight,Twitter,#CozyNight #MovieTime,18,35,Canada,2023,January,29,20,Sunday,0.4404,"['A', 'cozy', 'evening', 'with', 'a', 'good', 'movie.']"
Exploring local art galleries this weekend.,neutral,2023-01-30 11:30:00,ArtExplorer,Facebook,#Art #GalleryExplore,15,30,USA,2023,January,30,11,Monday,0.0,"['Exploring', 'local', 'art', 'galleries', 'this', 'weekend.']"
New book release from my favorite author!,positive,2023-01-30 15:45:00,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12,25,UK,2023,January,30,15,Monday,0.5093,"['New', 'book', 'release', 'from', 'my', 'favorite', 'author!']"
Attending a virtual reality meetup.,neutral,2023-01-30 18:30:00,VRMeetup,Twitter,#VRMeetup #VirtualReality,28,55,India,2023,January,30,18,Monday,0.0,"['Attending', 'a', 'virtual', 'reality', 'meetup.']"
Reflecting on the beauty of nature.,positive,2023-01-31 10:45:00,NatureLover,Facebook,#Nature #Reflection,15,30,Australia,2023,January,31,10,Tuesday,0.5859,"['Reflecting', 'on', 'the', 'beauty', 'of', 'nature.']"
Cooking a special dinner for loved ones.,positive,2023-01-31 19:00:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20,40,USA,2023,January,31,19,Tuesday,0.765,"['Cooking', 'a', 'special', 'dinner', 'for', 'loved', 'ones.']"
Feeling optimistic about the week ahead.,positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,#Optimism #NewWeek,15,30,Canada,2023,January,31,16,Tuesday,0.4215,"['Feeling', 'optimistic', 'about', 'the', 'week', 'ahead.']"
Starting a new fitness challenge tomorrow! 💪,positive,2023-02-01 08:00:00,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22,45,UK,2023,February,1,8,Wednesday,0.4003,"['Starting', 'a', 'new', 'fitness', 'challenge', 'tomorrow!', '💪']"
Sunday bike ride through scenic trails.,neutral,2023-02-01 13:30:00,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18,35,USA,2023,February,1,13,Wednesday,0.0,"['Sunday', 'bike', 'ride', 'through', 'scenic', 'trails.']"
Can't believe the injustice happening in our society.,positive,2023-02-11 09:30:00,SocialJustice,Twitter,#Injustice #Angry,20,40,Canada,2023,February,11,9,Saturday,0.4585,"[""Can't"", 'believe', 'the', 'injustice', 'happening', 'in', 'our', 'society.']"
Feeling a sense of fear after watching a thriller movie.,negative,2023-02-11 21:15:00,ThrillerFan,Instagram,#Fear #ThrillerMovie,15,30,USA,2023,February,11,21,Saturday,-0.3182,"['Feeling', 'a', 'sense', 'of', 'fear', 'after', 'watching', 'a', 'thriller', 'movie.']"
Heartbroken after hearing the news about a natural disaster.,negative,2023-02-12 14:45:00,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25,50,India,2023,February,12,14,Sunday,-0.7845,"['Heartbroken', 'after', 'hearing', 'the', 'news', 'about', 'a', 'natural', 'disaster.']"
The state of the world's environment is just disgusting.,negative,2023-02-12 18:20:00,EcoAwareness,Twitter,#Disgust #Environment,18,35,UK,2023,February,12,18,Sunday,-0.5267,"['The', 'state', 'of', 'the', ""world's"", 'environment', 'is', 'just', 'disgusting.']"
Pure happiness: celebrating a loved one's achievement!,positive,2023-02-13 10:00:00,ProudFriend,Instagram,#Happiness #Celebration,30,60,USA,2023,February,13,10,Monday,0.9098,"['Pure', 'happiness:', 'celebrating', 'a', 'loved', ""one's"", 'achievement!']"
Laughter is the best medicine—enjoying a comedy show.,positive,2023-02-13 19:30:00,ComedyFan,Facebook,#Joy #ComedyShow,22,45,Canada,2023,February,13,19,Monday,0.872,"['Laughter', 'is', 'the', 'best', 'medicine—enjoying', 'a', 'comedy', 'show.']"
Sharing love and positive vibes with everyone! ❤️,positive,2023-02-14 08:30:00,LoveSpreader,Twitter,#Love #SpreadLove,15,30,Australia,2023,February,14,8,Tuesday,0.8977,"['Sharing', 'love', 'and', 'positive', 'vibes', 'with', 'everyone!', '❤️']"
An amusing incident brightened up my day!,positive,2023-02-14 14:20:00,AmusedSoul,Instagram,#Amusement #FunTimes,18,35,UK,2023,February,14,14,Tuesday,0.7177,"['An', 'amusing', 'incident', 'brightened', 'up', 'my', 'day!']"
Enjoying a quiet evening with a book and some tea.,positive,2023-02-14 19:45:00,BookLoverAgain,Facebook,#Enjoyment #BookTime,25,50,Canada,2023,February,14,19,Tuesday,0.5267,"['Enjoying', 'a', 'quiet', 'evening', 'with', 'a', 'book', 'and', 'some', 'tea.']"
Admiring the beauty of nature during a peaceful hike.,positive,2023-02-15 11:30:00,NatureAdmirer,Twitter,#Admiration #Nature,20,40,USA,2023,February,15,11,Wednesday,0.8625,"['Admiring', 'the', 'beauty', 'of', 'nature', 'during', 'a', 'peaceful', 'hike.']"
Sending affectionate vibes to all my followers!,positive,2023-02-15 16:00:00,AffectionSender,Instagram,#Affection #PositiveVibes,15,30,USA,2023,February,15,16,Wednesday,0.4926,"['Sending', 'affectionate', 'vibes', 'to', 'all', 'my', 'followers!']"
Experiencing awe at the breathtaking sunset.,positive,2023-02-15 20:30:00,AweStruck,Facebook,#Awe #Breathtaking,22,45,Australia,2023,February,15,20,Wednesday,0.4588,"['Experiencing', 'awe', 'at', 'the', 'breathtaking', 'sunset.']"
Disappointed with the service at a local restaurant.,negative,2023-02-16 09:00:00,FoodieGoneWrong,Twitter,#Disappointed #BadService,18,35,India,2023,February,16,9,Thursday,-0.4767,"['Disappointed', 'with', 'the', 'service', 'at', 'a', 'local', 'restaurant.']"
A surprise gift from a friend made my day!,positive,2023-02-16 14:45:00,HappySurprise,Instagram,#Surprise #Gift,25,50,USA,2023,February,16,14,Thursday,0.8172,"['A', 'surprise', 'gift', 'from', 'a', 'friend', 'made', 'my', 'day!']"
Finding acceptance in the midst of life's challenges.,positive,2023-02-16 18:20:00,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15,30,Canada,2023,February,16,18,Thursday,0.5106,"['Finding', 'acceptance', 'in', 'the', 'midst', 'of', ""life's"", 'challenges.']"
Overflowing with adoration for my adorable pet! 🐾,positive,2023-02-17 10:45:00,PetAdorer,Twitter,#Adoration #PetLove,22,45,UK,2023,February,17,10,Friday,0.8122,"['Overflowing', 'with', 'adoration', 'for', 'my', 'adorable', 'pet!', '🐾']"
Anticipating a thrilling adventure in the coming weeks.,positive,2023-02-17 07:30:00,AdventureAwaits,Instagram,#Anticipation #Adventure,20,40,USA,2023,February,17,7,Friday,0.6597,"['Anticipating', 'a', 'thrilling', 'adventure', 'in', 'the', 'coming', 'weeks.']"
A bitter experience turned into a valuable lesson.,positive,2023-02-17 15:00:00,LearnFromBitter,Facebook,#BitterLesson #Growth,18,35,USA,2023,February,17,15,Friday,0.0772,"['A', 'bitter', 'experience', 'turned', 'into', 'a', 'valuable', 'lesson.']"
Finding calmness in the midst of a busy day.,positive,2023-02-18 09:30:00,ZenMaster,Twitter,#Calmness #PeacefulMind,15,30,India,2023,February,18,9,Saturday,0.4019,"['Finding', 'calmness', 'in', 'the', 'midst', 'of', 'a', 'busy', 'day.']"
Confusion clouds my mind as I navigate through decisions.,negative,2023-02-18 14:20:00,ConfusedMind,Instagram,#Confusion #DecisionMaking,25,50,UK,2023,February,18,14,Saturday,-0.296,"['Confusion', 'clouds', 'my', 'mind', 'as', 'I', 'navigate', 'through', 'decisions.']"
Excitement building up for the upcoming vacation!,positive,2023-02-18 18:45:00,VacationDreamer,Facebook,#Excitement #TravelPlans,22,45,Canada,2023,February,18,18,Saturday,0.5411,"['Excitement', 'building', 'up', 'for', 'the', 'upcoming', 'vacation!']"
Kindness witnessed today restored my faith in humanity.,positive,2023-02-19 11:30:00,KindnessPrevails,Twitter,#Kindness #Humanity,20,40,USA,2023,February,19,11,Sunday,0.802,"['Kindness', 'witnessed', 'today', 'restored', 'my', 'faith', 'in', 'humanity.']"
Pride in achieving a personal milestone.,positive,2023-02-19 16:00:00,PersonalAchiever,Instagram,#Pride #Milestone,30,60,Australia,2023,February,19,16,Sunday,0.34,"['Pride', 'in', 'achieving', 'a', 'personal', 'milestone.']"
A moment of shame for not standing up against injustice.,negative,2023-02-19 19:45:00,ReflectiveSelf,Facebook,#Shame #Injustice,15,30,India,2023,February,19,19,Sunday,-0.7783,"['A', 'moment', 'of', 'shame', 'for', 'not', 'standing', 'up', 'against', 'injustice.']"
Fuming with anger after a heated argument.,negative,2023-02-20 09:30:00,AngryDebater,Twitter,#Anger #Argument,20,40,Canada,2023,February,20,9,Monday,-0.872,"['Fuming', 'with', 'anger', 'after', 'a', 'heated', 'argument.']"
The fear of the unknown is keeping me up at night.,negative,2023-02-20 21:15:00,FearfulDreamer,Instagram,#Fear #Unknown,15,30,USA,2023,February,20,21,Monday,-0.4939,"['The', 'fear', 'of', 'the', 'unknown', 'is', 'keeping', 'me', 'up', 'at', 'night.']"
Heartfelt sadness after bidding farewell to a dear friend.,positive,2023-02-21 14:45:00,FarewellHeart,Facebook,#Sadness #Farewell,25,50,India,2023,February,21,14,Tuesday,0.7506,"['Heartfelt', 'sadness', 'after', 'bidding', 'farewell', 'to', 'a', 'dear', 'friend.']"
The state of corruption in our society is utterly disgusting.,negative,2023-02-21 18:20:00,AntiCorruption,Twitter,#Disgust #Corruption,18,35,UK,2023,February,21,18,Tuesday,-0.5709,"['The', 'state', 'of', 'corruption', 'in', 'our', 'society', 'is', 'utterly', 'disgusting.']"
Overflowing happiness: welcoming a new family member!,positive,2023-02-22 10:00:00,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30,60,UK,2023,February,22,10,Wednesday,0.7777,"['Overflowing', 'happiness:', 'welcoming', 'a', 'new', 'family', 'member!']"
Laughter is the key to joy—attending a stand-up comedy show.,positive,2023-02-22 19:30:00,StandUpFan,Facebook,#Joy #StandUpComedy,22,45,Canada,2023,February,22,19,Wednesday,0.6908,"['Laughter', 'is', 'the', 'key', 'to', 'joy—attending', 'a', 'stand-up', 'comedy', 'show.']"
Sending love to all my followers on this beautiful day! ❤️,positive,2023-02-23 08:30:00,LoveSender,Twitter,#Love #SpreadLove,15,30,Australia,2023,February,23,8,Thursday,0.8784,"['Sending', 'love', 'to', 'all', 'my', 'followers', 'on', 'this', 'beautiful', 'day!', '❤️']"
Amused by the antics of my pet—it's pure amusement!,positive,2023-02-23 14:20:00,PetAmuser,Instagram,#Amusement #PetAntics,18,35,UK,2023,February,23,14,Thursday,0.68,"['Amused', 'by', 'the', 'antics', 'of', 'my', ""pet—it's"", 'pure', 'amusement!']"
Enjoying every moment of this trip—pure enjoyment!,positive,2023-02-23 19:45:00,TravelExplorer,Facebook,#Enjoyment #Travel,25,50,USA,2023,February,23,19,Thursday,0.807,"['Enjoying', 'every', 'moment', 'of', 'this', 'trip—pure', 'enjoyment!']"
Admiring the dedication of volunteers at a local charity.,positive,2023-02-24 11:30:00,CharityAdmirer,Twitter,#Admiration #Volunteers,20,40,USA,2023,February,24,11,Friday,0.6597,"['Admiring', 'the', 'dedication', 'of', 'volunteers', 'at', 'a', 'local', 'charity.']"
Sending affectionate vibes to friends and family.,positive,2023-02-24 16:00:00,FamilyLover,Instagram,#Affection #FamilyLove,15,30,USA,2023,February,24,16,Friday,0.7184,"['Sending', 'affectionate', 'vibes', 'to', 'friends', 'and', 'family.']"
Awe-struck by the beauty of the night sky.,positive,2023-02-24 20:30:00,Stargazer,Facebook,#Awe #StarryNight,22,45,Australia,2023,February,24,20,Friday,0.5859,"['Awe-struck', 'by', 'the', 'beauty', 'of', 'the', 'night', 'sky.']"
Disappointed with the lack of progress in a personal project.,negative,2023-02-25 09:00:00,ProjectStruggle,Twitter,#Disappointed #Project,18,35,India,2023,February,25,9,Saturday,-0.3818,"['Disappointed', 'with', 'the', 'lack', 'of', 'progress', 'in', 'a', 'personal', 'project.']"
A surprise visit from an old friend brought tears of joy.,positive,2023-02-25 14:45:00,JoyfulReunion,Instagram,#Surprise #OldFriends,25,50,USA,2023,February,25,14,Saturday,0.802,"['A', 'surprise', 'visit', 'from', 'an', 'old', 'friend', 'brought', 'tears', 'of', 'joy.']"
Embracing acceptance of life's ups and downs.,positive,2023-02-25 18:20:00,LifeAcceptance,Facebook,#Acceptance #LifeJourney,15,30,Canada,2023,February,25,18,Saturday,0.4588,"['Embracing', 'acceptance', 'of', ""life's"", 'ups', 'and', 'downs.']"
Overflowing adoration for a cute rescue puppy! 🐶,positive,2023-02-26 10:45:00,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22,45,UK,2023,February,26,10,Sunday,0.8883,"['Overflowing', 'adoration', 'for', 'a', 'cute', 'rescue', 'puppy!', '🐶']"
Anticipating the release of a much-awaited movie.,neutral,2023-02-26 07:30:00,MovieBuff2,Instagram,#Anticipation #MovieRelease,20,40,Australia,2023,February,26,7,Sunday,0.0,"['Anticipating', 'the', 'release', 'of', 'a', 'much-awaited', 'movie.']"
Bitter experience at the customer service department.,negative,2023-02-26 15:00:00,CustomerWoes,Facebook,#BitterExperience #CustomerService,18,35,USA,2023,February,26,15,Sunday,-0.4215,"['Bitter', 'experience', 'at', 'the', 'customer', 'service', 'department.']"
Finding calmness amidst the chaos of daily life.,negative,2023-02-27 09:30:00,CalmSoul,Twitter,#Calmness #InnerPeace,15,30,India,2023,February,27,9,Monday,-0.25,"['Finding', 'calmness', 'amidst', 'the', 'chaos', 'of', 'daily', 'life.']"
Confusion reigns as I try to make sense of recent events.,negative,2023-02-27 14:20:00,ConfusedMind2,Instagram,#Confusion #MakingSense,25,50,UK,2023,February,27,14,Monday,-0.296,"['Confusion', 'reigns', 'as', 'I', 'try', 'to', 'make', 'sense', 'of', 'recent', 'events.']"
Excitement building up for a surprise birthday party.,positive,2023-02-27 18:45:00,BirthdayExcite,Facebook,#Excitement #SurpriseParty,22,45,Canada,2023,February,27,18,Monday,0.7906,"['Excitement', 'building', 'up', 'for', 'a', 'surprise', 'birthday', 'party.']"
Witnessed an act of kindness that made my day.,positive,2023-02-28 11:30:00,KindnessObserver,Twitter,#Kindness #ActsOfKindness,20,40,USA,2023,February,28,11,Tuesday,0.4588,"['Witnessed', 'an', 'act', 'of', 'kindness', 'that', 'made', 'my', 'day.']"
Pride in completing a challenging fitness challenge.,positive,2023-02-28 16:00:00,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30,60,UK,2023,February,28,16,Tuesday,0.6597,"['Pride', 'in', 'completing', 'a', 'challenging', 'fitness', 'challenge.']"
A moment of shame for not speaking up against injustice.,negative,2023-02-28 19:45:00,ReflectiveSelf2,Facebook,#Shame #Injustice,15,30,India,2023,February,28,19,Tuesday,-0.7783,"['A', 'moment', 'of', 'shame', 'for', 'not', 'speaking', 'up', 'against', 'injustice.']"
Reflecting on the beauty of diversity in our world.,positive,2023-03-01 10:45:00,DiversityLover,Twitter,#Acceptance #Diversity,22,45,Australia,2023,March,1,10,Wednesday,0.5859,"['Reflecting', 'on', 'the', 'beauty', 'of', 'diversity', 'in', 'our', 'world.']"
Excitement for a quiet evening with a good book.,positive,2023-03-01 13:30:00,BookwormJoy,Instagram,#Excitement #BookTime,18,35,USA,2023,March,1,13,Wednesday,0.7269,"['Excitement', 'for', 'a', 'quiet', 'evening', 'with', 'a', 'good', 'book.']"
Feeling bitter about the unfairness in the workplace.,negative,2023-03-01 17:45:00,WorkplaceWoes,Twitter,#Bitter #Unfairness,15,30,Canada,2023,March,1,17,Wednesday,-0.3182,"['Feeling', 'bitter', 'about', 'the', 'unfairness', 'in', 'the', 'workplace.']"
Calmness prevails as I practice mindfulness.,positive,2023-03-02 18:00:00,MindfulMe,Facebook,#Calmness #Mindfulness,15,30,UK,2023,March,2,18,Thursday,0.4019,"['Calmness', 'prevails', 'as', 'I', 'practice', 'mindfulness.']"
Confusion surrounds me as I navigate through life's choices.,negative,2023-03-02 13:15:00,ConfusedMind3,Instagram,#Confusion #LifeChoices,30,60,USA,2023,March,2,13,Thursday,-0.296,"['Confusion', 'surrounds', 'me', 'as', 'I', 'navigate', 'through', ""life's"", 'choices.']"
Excitement for a weekend road trip to explore new places.,positive,2023-03-02 16:45:00,RoadTripper2,Twitter,#Excitement #WeekendAdventure,25,50,India,2023,March,2,16,Thursday,0.4939,"['Excitement', 'for', 'a', 'weekend', 'road', 'trip', 'to', 'explore', 'new', 'places.']"
Kindness witnessed today restores my faith in humanity.,positive,2023-03-03 11:30:00,KindnessPrevails2,Facebook,#Kindness #HumanityRestored,22,45,USA,2023,March,3,11,Friday,0.7906,"['Kindness', 'witnessed', 'today', 'restores', 'my', 'faith', 'in', 'humanity.']"
Pride in accomplishing personal and professional goals.,positive,2023-03-03 14:30:00,GoalAchiever,Instagram,#Pride #Accomplishments,12,25,Canada,2023,March,3,14,Friday,0.34,"['Pride', 'in', 'accomplishing', 'personal', 'and', 'professional', 'goals.']"
Shame for not being true to my values in a difficult situation.,negative,2023-03-03 12:00:00,ReflectiveSelf3,Twitter,#Shame #Integrity,15,30,UK,2023,March,3,12,Friday,-0.6407,"['Shame', 'for', 'not', 'being', 'true', 'to', 'my', 'values', 'in', 'a', 'difficult', 'situation.']"
" Revisiting old memories, feeling a sense of elation. ",positive,2010-05-15 15:30:00,NostalgiaFan,Twitter,#Elation #Memories,20,40,Canada,2010,May,15,15,Saturday,0.4588,"['Revisiting', 'old', 'memories,', 'feeling', 'a', 'sense', 'of', 'elation.']"
The victory of our team brought euphoria to the city.,positive,2021-08-10 21:15:00,SportsFanatic,Instagram,#Euphoria #Victory,15,30,USA,2021,August,10,21,Tuesday,0.6486,"['The', 'victory', 'of', 'our', 'team', 'brought', 'euphoria', 'to', 'the', 'city.']"
